Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont-Triad,PK-05,,D,54,46.9,83.8,Met,1.53,C,58,50.0,91.6,Exceeded,5.01
Alamance-Burlington Schools,010308,Altamahaw-Ossipee Elementary,Piedmont-Triad,0K-05,,C,56,50.5,80.1,Met,0.07,C,61,55.7,83.9,Met,1.56
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont-Triad,06-08,Y,F,26,19.3,54.8,Not Met,-7.10,F,28,16.3,74.6,Met,-1.08
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont-Triad,0K-05,,C,58,51.6,82.3,Met,0.93,C,61,55.9,82.5,Met,1.01
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont-Triad,PK-05,,C,60,54.4,82.3,Met,0.95,C,63,56.7,89.5,Exceeded,3.82
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont-Triad,PK-05,Y,F,34,22.6,81.2,Met,0.49,F,39,26.3,91.9,Exceeded,5.19
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont-Triad,0K-05,,C,60,54.6,83.4,Met,1.37,C,63,57.6,82.4,Met,0.99
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont-Triad,0K-05,,D,51,43.3,80.4,Met,0.18,C,56,46.6,93.2,Exceeded,5.93
Alamance-Burlington Schools,010346,B. Everett Jordan Elementary,Piedmont-Triad,0K-05,Y,D,42,32.7,78.8,Met,-0.23,D,42,31.5,85.1,Exceeded,2.04
Alamance-Burlington Schools,010347,Audrey W. Garrett Elementary,Piedmont-Triad,PK-05,Y,C,56,49.8,82.0,Met,0.81,C,64,59.6,81.6,Met,0.66
Alamance-Burlington Schools,010350,Graham Middle,Piedmont-Triad,06-08,Y,F,29,22.3,56.8,Not Met,-5.91,F,32,19.2,81.1,Met,0.45
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont-Triad,PK-05,Y,F,34,24.4,73.0,Met,-1.39,F,38,25.4,87.2,Exceeded,2.90
Alamance-Burlington Schools,010353,Hawfields Middle,Piedmont-Triad,06-08,,C,56,47.7,91.0,Exceeded,4.63,B,73,66.1,100.0,Exceeded,18.74
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,Piedmont-Triad,PK-05,Y,F,27,18.9,61.3,Not Met,-3.73,F,32,21.1,77.9,Met,-0.42
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont-Triad,PK-05,Y,F,35,24.0,79.9,Met,-0.02,F,34,21.2,84.8,Met,1.95
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont-Triad,PK-05,Y,F,35,25.6,70.4,Met,-1.92,F,36,22.8,87.4,Exceeded,2.96
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,Piedmont-Triad,PK-05,,C,67,61.1,90.3,Exceeded,4.18,B,76,69.7,99.4,Exceeded,9.64
Alamance-Burlington Schools,010364,North Graham Elementary,Piedmont-Triad,PK-05,Y,F,34,23.2,76.7,Met,-0.66,F,36,23.7,84.5,Met,1.81
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,Piedmont-Triad,PK-05,Y,D,49,40.6,83.8,Met,1.53,D,50,41.1,88.0,Exceeded,3.20
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,Piedmont-Triad,PK-05,Y,D,43,32.9,83.7,Met,1.49,D,40,27.3,90.8,Exceeded,4.50
Alamance-Burlington Schools,010380,South Graham Elementary,Piedmont-Triad,PK-05,Y,D,42,34.5,71.2,Met,-1.76,D,47,36.7,86.8,Exceeded,2.73
Alamance-Burlington Schools,010384,South Mebane Elementary,Piedmont-Triad,0K-05,,C,57,51.1,81.7,Met,0.71,C,69,62.2,93.7,Exceeded,6.26
Alamance-Burlington Schools,010390,Southern Alamance Middle,Piedmont-Triad,06-08,,D,47,42.4,66.8,Not Met,-2.63,D,54,45.1,87.6,Exceeded,3.05
Alamance-Burlington Schools,010392,Sylvan Elementary,Piedmont-Triad,PK-05,Y,D,52,45.4,80.8,Met,0.34,D,53,47.7,75.4,Met,-0.91
Alamance-Burlington Schools,010394,Turrentine Middle,Piedmont-Triad,06-08,Y,F,39,33.5,60.4,Not Met,-3.92,F,33,25.6,61.7,Not Met,-3.65
Alamance-Burlington Schools,010403,Western Alamance Middle,Piedmont-Triad,06-08,,D,53,46.6,76.2,Met,-0.75,C,67,58.3,100.0,Exceeded,13.70
