,year,agency_code,career_cluster,num_concentrators
0,2019,740302,INFO,
1,2019,740302,STEM,
2,2019,132304,AAVC,25.0
3,2019,132304,AGNR,21.0
4,2019,132304,ARCH,22.0
5,2019,132304,BMA,13.0
6,2019,132304,EDUC,
7,2019,132304,FINA,
8,2019,132304,HLTH,52.0
9,2019,132304,HOSP,46.0
10,2019,132304,HUMA,8.0
11,2019,132304,INFO,22.0
12,2019,132304,LAW,
13,2019,132304,MANU,10.0
14,2019,132304,MRKT,8.0
15,2019,132304,STEM,47.0
16,2019,132304,TRAN,
17,2019,680304,AAVC,
18,2019,680304,BMA,
19,2019,680304,CD,
20,2019,680304,EDUC,
21,2019,680304,FINA,
22,2019,680304,HOSP,
23,2019,680304,HUMA,
24,2019,680304,INFO,
25,2019,680304,MRKT,
26,2019,680304,STEM,
27,2019,10303,AGNR,
28,2019,10303,ARCH,
29,2019,10303,BMA,
30,2019,10303,FINA,
31,2019,10303,HLTH,
32,2019,10303,HOSP,
33,2019,10303,HUMA,
34,2019,10303,INFO,
35,2019,10303,LAW,
36,2019,10303,MANU,
37,2019,10303,TRAN,
38,2019,410545,AAVC,
39,2019,410545,AGNR,
40,2019,410545,ARCH,16.0
41,2019,410545,BMA,3.0
42,2019,410545,EDUC,
43,2019,410545,FINA,
44,2019,410545,HLTH,31.0
45,2019,410545,HOSP,
46,2019,410545,HUMA,
47,2019,410545,INFO,1.0
48,2019,410545,LAW,
49,2019,410545,MANU,
50,2019,410545,MRKT,3.0
51,2019,410545,STEM,
52,2019,410545,TRAN,
53,2019,240304,INFO,
54,2019,910368,AGNR,1.0
55,2019,910368,ARCH,5.0
56,2019,910368,FINA,
57,2019,910368,HUMA,
58,2019,490307,AGNR,
59,2019,490307,ARCH,
60,2019,490307,BMA,
61,2019,490307,FINA,
62,2019,490307,HOSP,
63,2019,490307,INFO,
64,2019,490307,LAW,
65,2019,490307,STEM,
66,2019,840302,AAVC,3.0
67,2019,840302,AGNR,24.0
68,2019,840302,ARCH,1.0
69,2019,840302,BMA,6.0
70,2019,840302,FINA,
71,2019,840302,HLTH,18.0
72,2019,840302,HOSP,24.0
73,2019,840302,HUMA,3.0
74,2019,840302,INFO,3.0
75,2019,840302,LAW,1.0
76,2019,840302,MANU,20.0
77,2019,840302,MRKT,
78,2019,600301,BMA,
79,2019,600301,CD,
80,2019,600301,FINA,
81,2019,600301,HOSP,
82,2019,600301,INFO,
83,2019,600301,MRKT,
84,2019,600301,STEM,
85,2019,20302,AAVC,
86,2019,20302,AGNR,
87,2019,20302,ARCH,
88,2019,20302,BMA,
89,2019,20302,EDUC,
90,2019,20302,FINA,
91,2019,20302,HLTH,
92,2019,20302,HOSP,
93,2019,20302,HUMA,
94,2019,20302,INFO,
95,2019,20302,LAW,
96,2019,20302,MANU,
97,2019,20302,MRKT,
98,2019,20302,STEM,
99,2019,20302,TRAN,
100,2019,600399,BMA,
101,2019,600399,CD,
102,2019,600399,FINA,
103,2019,600399,HOSP,
104,2019,600399,INFO,
105,2019,600399,MRKT,
106,2019,600399,STEM,
107,2019,260374,AAVC,
108,2019,260374,AGNR,7.0
109,2019,260374,ARCH,1.0
110,2019,260374,BMA,2.0
111,2019,260374,FINA,
112,2019,260374,HUMA,
113,2019,260374,INFO,2.0
114,2019,30304,AAVC,
115,2019,30304,AGNR,
116,2019,30304,ARCH,
117,2019,30304,BMA,
118,2019,30304,EDUC,
