,year,agency_code,career_cluster,num_concentrators,description
0,2019,740302,INFO,,Information Technology
1,2019,740302,STEM,,"Science, Tech, Engineering and Math"
2,2019,132304,AAVC,25.0,"Arts, Audio/Video Techn and Comm"
3,2019,132304,AGNR,21.0,Agricultural & Natural Resources Tech
4,2019,132304,ARCH,22.0,Architecture and Construction
5,2019,132304,BMA,13.0,Business Management and Administration
6,2019,132304,EDUC,,Education and Training
7,2019,132304,FINA,,Finance
8,2019,132304,HLTH,52.0,Health Science
9,2019,132304,HOSP,46.0,Hospitality and Tourism
10,2019,132304,HUMA,8.0,Human Services
11,2019,132304,INFO,22.0,Information Technology
12,2019,132304,LAW,,"Law, Public Safety, Corrections and Security"
13,2019,132304,MANU,10.0,Manufacturing
14,2019,132304,MRKT,8.0,Marketing Sales & Services
15,2019,132304,STEM,47.0,"Science, Tech, Engineering and Math"
16,2019,132304,TRAN,,"Transportation, Distribution & Logistics"
17,2019,680304,AAVC,,"Arts, Audio/Video Techn and Comm"
18,2019,680304,BMA,,Business Management and Administration
19,2019,680304,CD,,Career Development
20,2019,680304,EDUC,,Education and Training
21,2019,680304,FINA,,Finance
22,2019,680304,HOSP,,Hospitality and Tourism
23,2019,680304,HUMA,,Human Services
24,2019,680304,INFO,,Information Technology
25,2019,680304,MRKT,,Marketing Sales & Services
26,2019,680304,STEM,,"Science, Tech, Engineering and Math"
27,2019,10303,AGNR,,Agricultural & Natural Resources Tech
28,2019,10303,ARCH,,Architecture and Construction
29,2019,10303,BMA,,Business Management and Administration
30,2019,10303,FINA,,Finance
31,2019,10303,HLTH,,Health Science
32,2019,10303,HOSP,,Hospitality and Tourism
33,2019,10303,HUMA,,Human Services
34,2019,10303,INFO,,Information Technology
35,2019,10303,LAW,,"Law, Public Safety, Corrections and Security"
36,2019,10303,MANU,,Manufacturing
37,2019,10303,TRAN,,"Transportation, Distribution & Logistics"
38,2019,410545,AAVC,,"Arts, Audio/Video Techn and Comm"
39,2019,410545,AGNR,,Agricultural & Natural Resources Tech
40,2019,410545,ARCH,16.0,Architecture and Construction
41,2019,410545,BMA,3.0,Business Management and Administration
42,2019,410545,EDUC,,Education and Training
43,2019,410545,FINA,,Finance
44,2019,410545,HLTH,31.0,Health Science
45,2019,410545,HOSP,,Hospitality and Tourism
46,2019,410545,HUMA,,Human Services
47,2019,410545,INFO,1.0,Information Technology
48,2019,410545,LAW,,"Law, Public Safety, Corrections and Security"
49,2019,410545,MANU,,Manufacturing
50,2019,410545,MRKT,3.0,Marketing Sales & Services
51,2019,410545,STEM,,"Science, Tech, Engineering and Math"
52,2019,410545,TRAN,,"Transportation, Distribution & Logistics"
53,2019,240304,INFO,,Information Technology
54,2019,910368,AGNR,1.0,Agricultural & Natural Resources Tech
55,2019,910368,ARCH,5.0,Architecture and Construction
56,2019,910368,FINA,,Finance
57,2019,910368,HUMA,,Human Services
58,2019,490307,AGNR,,Agricultural & Natural Resources Tech
59,2019,490307,ARCH,,Architecture and Construction
60,2019,490307,BMA,,Business Management and Administration
61,2019,490307,FINA,,Finance
62,2019,490307,HOSP,,Hospitality and Tourism
63,2019,490307,INFO,,Information Technology
64,2019,490307,LAW,,"Law, Public Safety, Corrections and Security"
65,2019,490307,STEM,,"Science, Tech, Engineering and Math"
66,2019,840302,AAVC,3.0,"Arts, Audio/Video Techn and Comm"
67,2019,840302,AGNR,24.0,Agricultural & Natural Resources Tech
68,2019,840302,ARCH,1.0,Architecture and Construction
69,2019,840302,BMA,6.0,Business Management and Administration
70,2019,840302,FINA,,Finance
71,2019,840302,HLTH,18.0,Health Science
72,2019,840302,HOSP,24.0,Hospitality and Tourism
73,2019,840302,HUMA,3.0,Human Services
74,2019,840302,INFO,3.0,Information Technology
75,2019,840302,LAW,1.0,"Law, Public Safety, Corrections and Security"
76,2019,840302,MANU,20.0,Manufacturing
77,2019,840302,MRKT,,Marketing Sales & Services
78,2019,600301,BMA,,Business Management and Administration
79,2019,600301,CD,,Career Development
80,2019,600301,FINA,,Finance
81,2019,600301,HOSP,,Hospitality and Tourism
82,2019,600301,INFO,,Information Technology
83,2019,600301,MRKT,,Marketing Sales & Services
84,2019,600301,STEM,,"Science, Tech, Engineering and Math"
85,2019,20302,AAVC,,"Arts, Audio/Video Techn and Comm"
86,2019,20302,AGNR,,Agricultural & Natural Resources Tech
87,2019,20302,ARCH,,Architecture and Construction
88,2019,20302,BMA,,Business Management and Administration
89,2019,20302,EDUC,,Education and Training
90,2019,20302,FINA,,Finance
91,2019,20302,HLTH,,Health Science
92,2019,20302,HOSP,,Hospitality and Tourism
93,2019,20302,HUMA,,Human Services
94,2019,20302,INFO,,Information Technology
95,2019,20302,LAW,,"Law, Public Safety, Corrections and Security"
96,2019,20302,MANU,,Manufacturing
97,2019,20302,MRKT,,Marketing Sales & Services
98,2019,20302,STEM,,"Science, Tech, Engineering and Math"
99,2019,20302,TRAN,,"Transportation, Distribution & Logistics"
100,2019,600399,BMA,,Business Management and Administration
101,2019,600399,CD,,Career Development
102,2019,600399,FINA,,Finance
103,2019,600399,HOSP,,Hospitality and Tourism
104,2019,600399,INFO,,Information Technology
105,2019,600399,MRKT,,Marketing Sales & Services
106,2019,600399,STEM,,"Science, Tech, Engineering and Math"
107,2019,260374,AAVC,,"Arts, Audio/Video Techn and Comm"
108,2019,260374,AGNR,7.0,Agricultural & Natural Resources Tech
109,2019,260374,ARCH,1.0,Architecture and Construction
110,2019,260374,BMA,2.0,Business Management and Administration
111,2019,260374,FINA,,Finance
112,2019,260374,HUMA,,Human Services
113,2019,260374,INFO,2.0,Information Technology
114,2019,30304,AAVC,,"Arts, Audio/Video Techn and Comm"
115,2019,30304,AGNR,,Agricultural & Natural Resources Tech
116,2019,30304,ARCH,,Architecture and Construction
117,2019,30304,BMA,,Business Management and Administration
118,2019,30304,EDUC,,Education and Training
119,2019,30304,FINA,,Finance
120,2019,30304,HLTH,,Health Science
121,2019,30304,HOSP,,Hospitality and Tourism
122,2019,30304,HUMA,,Human Services
123,2019,30304,INFO,,Information Technology
124,2019,30304,LAW,,"Law, Public Safety, Corrections and Security"
125,2019,30304,MANU,,Manufacturing
126,2019,30304,MRKT,,Marketing Sales & Services
127,2019,30304,STEM,,"Science, Tech, Engineering and Math"
128,2019,30304,TRAN,,"Transportation, Distribution & Logistics"
129,2019,410311,BMA,,Business Management and Administration
130,2019,410311,FINA,,Finance
131,2019,410311,HOSP,,Hospitality and Tourism
132,2019,410311,INFO,,Information Technology
133,2019,410311,MRKT,,Marketing Sales & Services
134,2019,410316,AAVC,,"Arts, Audio/Video Techn and Comm"
135,2019,410316,BMA,,Business Management and Administration
136,2019,410316,EDUC,,Education and Training
137,2019,410316,FINA,,Finance
138,2019,410316,HOSP,,Hospitality and Tourism
139,2019,410316,HUMA,,Human Services
140,2019,410316,INFO,,Information Technology
141,2019,410316,MRKT,,Marketing Sales & Services
142,2019,410316,STEM,,"Science, Tech, Engineering and Math"
143,2019,200308,AAVC,,"Arts, Audio/Video Techn and Comm"
144,2019,200308,AGNR,1.0,Agricultural & Natural Resources Tech
145,2019,200308,ARCH,,Architecture and Construction
146,2019,200308,BMA,,Business Management and Administration
147,2019,200308,EDUC,,Education and Training
148,2019,200308,FINA,,Finance
149,2019,200308,HLTH,11.0,Health Science
150,2019,200308,HOSP,10.0,Hospitality and Tourism
151,2019,200308,HUMA,1.0,Human Services
152,2019,200308,INFO,1.0,Information Technology
153,2019,200308,LAW,7.0,"Law, Public Safety, Corrections and Security"
