year,agency_code,career_cluster,num_concentrators
2017,010303,AGNR,1.0
2017,670352,FINA,2.0
2017,670352,HLTH,58.0
2017,670352,HOSP,85.0
2017,670352,HUMA,13.0
2017,670352,INFO,36.0
2017,670352,MANU,41.0
2017,670352,MRKT,23.0
2017,670352,STEM,54.0
2017,670356,STEM,1.0
2017,670364,AAVC,19.0
2017,670364,AGNR,124.0
2017,670364,ARCH,24.0
2017,670352,BMA,46.0
2017,670364,BMA,3.0
2017,670364,HLTH,132.0
2017,670364,HOSP,29.0
2017,670364,INFO,14.0
2017,670364,STEM,20.0
2017,680310,AAVC,3.0
2017,680310,AGNR,150.0
2017,680310,ARCH,214.0
2017,680310,BMA,130.0
2017,680310,FINA,10.0
2017,680310,HLTH,146.0
2017,680310,HOSP,123.0
2017,680310,INFO,80.0
2017,670364,FINA,2.0
2017,670352,ARCH,65.0
2017,670352,AGNR,69.0
2017,670352,AAVC,95.0
2017,670324,HUMA,7.0
2017,670324,INFO,27.0
2017,670324,STEM,14.0
2017,670333,AAVC,119.0
2017,670333,AGNR,43.0
2017,670333,ARCH,2.0
2017,670333,BMA,22.0
2017,670333,HLTH,24.0
2017,670333,HOSP,49.0
2017,670333,INFO,72.0
2017,670333,MRKT,20.0
2017,670333,STEM,6.0
2017,670340,AGNR,149.0
2017,670340,ARCH,73.0
2017,670340,BMA,20.0
2017,670340,EDUC,12.0
2017,670340,FINA,7.0
2017,670340,HLTH,69.0
2017,670340,HOSP,51.0
2017,670340,INFO,20.0
2017,670340,STEM,33.0
2017,670344,AGNR,43.0
2017,670344,ARCH,32.0
2017,670344,HOSP,29.0
2017,670344,INFO,10.0
2017,670344,LAW,18.0
2017,670344,TRAN,4.0
2017,680310,MANU,3.0
2017,680310,MRKT,17.0
2017,680332,AAVC,15.0
2017,680332,AGNR,96.0
2017,681338,MRKT,58.0
2017,690320,AGNR,29.0
2017,690320,ARCH,62.0
2017,690320,BMA,7.0
2017,690320,HLTH,14.0
2017,690320,HOSP,5.0
2017,690320,INFO,10.0
2017,690320,LAW,4.0
2017,690320,MANU,13.0
2017,690320,MRKT,2.0
2017,690320,STEM,6.0
2017,69A000,MANU,7.0
2017,700310,AGNR,1.0
2017,700310,ARCH,1.0
2017,700310,BMA,1.0
2017,700317,AGNR,46.0
2017,700317,ARCH,11.0
2017,700317,BMA,24.0
2017,700317,HLTH,26.0
2017,700317,HOSP,3.0
2017,700317,INFO,4.0
2017,700317,MANU,4.0
2017,700317,MRKT,7.0
2017,700317,STEM,4.0
2017,700317,TRAN,11.0
2017,700319,AGNR,95.0
2017,700319,ARCH,19.0
2017,681338,INFO,1.0
2017,670324,HOSP,190.0
2017,681338,BMA,59.0
2017,681314,HOSP,118.0
2017,680332,ARCH,12.0
2017,680332,BMA,1.0
2017,680332,FINA,7.0
2017,680332,HLTH,3.0
2017,680332,HOSP,35.0
2017,680332,HUMA,1.0
2017,680332,INFO,30.0
2017,680332,MANU,12.0
2017,680332,MRKT,1.0
2017,680332,STEM,12.0
2017,680335,BMA,2.0
2017,680335,MRKT,2.0
2017,680335,TRAN,1.0
2017,681305,AAVC,62.0
2017,681305,ARCH,50.0
2017,681305,BMA,1.0
2017,681305,MRKT,364.0
2017,681305,STEM,171.0
2017,681308,AAVC,63.0
2017,681308,AGNR,69.0
2017,681308,ARCH,64.0
2017,681308,HLTH,434.0
2017,681308,HOSP,67.0
2017,681308,INFO,438.0
2017,681308,TRAN,62.0
2017,681314,AGNR,61.0
2017,681314,HLTH,467.0
2017,681314,STEM,335.0
2017,700319,BMA,25.0
2017,670324,HLTH,167.0
2017,670324,BMA,18.0
2017,640350,STEM,8.0
2017,640361,AGNR,10.0
2017,640361,ARCH,22.0
2017,640361,BMA,10.0
2017,640361,FINA,3.0
2017,640361,HLTH,21.0
2017,640361,HOSP,26.0
2017,640361,HUMA,20.0
2017,640361,INFO,15.0
2017,640361,LAW,13.0
2017,640361,MANU,8.0
2017,640361,MRKT,2.0
2017,640350,MANU,15.0
2017,640361,STEM,3.0
2017,640364,AGNR,101.0
2017,640364,ARCH,3.0
