year,agency_code,career_cluster
2019,740302,INFO
2019,740302,STEM
2019,132304,AAVC
2019,132304,AGNR
2019,132304,ARCH
2019,132304,BMA
2019,132304,EDUC
2019,132304,FINA
2019,132304,HLTH
2019,132304,HOSP
2019,132304,HUMA
2019,132304,INFO
2019,132304,LAW
2019,132304,MANU
2019,132304,MRKT
2019,132304,STEM
2019,132304,TRAN
2019,680304,AAVC
2019,680304,BMA
2019,680304,CD
2019,680304,EDUC
2019,680304,FINA
2019,680304,HOSP
2019,680304,HUMA
2019,680304,INFO
2019,680304,MRKT
2019,680304,STEM
2019,010303,AGNR
2019,010303,ARCH
2019,010303,BMA
2019,010303,FINA
2019,010303,HLTH
2019,010303,HOSP
2019,010303,HUMA
2019,010303,INFO
2019,010303,LAW
2019,010303,MANU
2019,010303,TRAN
2019,410545,AAVC
2019,410545,AGNR
2019,410545,ARCH
2019,410545,BMA
2019,410545,EDUC
2019,410545,FINA
2019,410545,HLTH
2019,410545,HOSP
2019,410545,HUMA
2019,410545,INFO
2019,410545,LAW
2019,410545,MANU
2019,410545,MRKT
2019,410545,STEM
2019,410545,TRAN
2019,240304,INFO
2019,910368,AGNR
2019,910368,ARCH
2019,910368,FINA
2019,910368,HUMA
2019,490307,AGNR
2019,490307,ARCH
2019,490307,BMA
2019,490307,FINA
2019,490307,HOSP
2019,490307,INFO
2019,490307,LAW
2019,490307,STEM
2019,840302,AAVC
2019,840302,AGNR
2019,840302,ARCH
2019,840302,BMA
2019,840302,FINA
2019,840302,HLTH
2019,840302,HOSP
2019,840302,HUMA
2019,840302,INFO
2019,840302,LAW
2019,840302,MANU
2019,840302,MRKT
2019,600301,BMA
2019,600301,CD
2019,600301,FINA
2019,600301,HOSP
2019,600301,INFO
2019,600301,MRKT
2019,600301,STEM
2019,020302,AAVC
2019,020302,AGNR
2019,020302,ARCH
2019,020302,BMA
2019,020302,EDUC
2019,020302,FINA
2019,020302,HLTH
2019,020302,HOSP
2019,020302,HUMA
2019,020302,INFO
2019,020302,LAW
2019,020302,MANU
2019,020302,MRKT
2019,020302,STEM
2019,020302,TRAN
2019,600399,BMA
2019,600399,CD
2019,600399,FINA
2019,600399,HOSP
2019,600399,INFO
2019,600399,MRKT
2019,600399,STEM
2019,260374,AAVC
2019,260374,AGNR
2019,260374,ARCH
2019,260374,BMA
2019,260374,FINA
2019,260374,HUMA
2019,260374,INFO
2019,030304,AAVC
2019,030304,AGNR
2019,030304,ARCH
2019,030304,BMA
2019,030304,EDUC
2019,030304,FINA
2019,030304,HLTH
2019,030304,HOSP
2019,030304,HUMA
2019,030304,INFO
2019,030304,LAW
2019,030304,MANU
2019,030304,MRKT
2019,030304,STEM
2019,030304,TRAN
2019,410311,BMA
2019,410311,FINA
2019,410311,HOSP
2019,410311,INFO
2019,410311,MRKT
2019,410316,AAVC
2019,410316,BMA
2019,410316,EDUC
2019,410316,FINA
2019,410316,HOSP
2019,410316,HUMA
2019,410316,INFO
2019,410316,MRKT
2019,410316,STEM
2019,200308,AAVC
2019,200308,AGNR
2019,200308,ARCH
2019,200308,BMA
2019,200308,EDUC
2019,200308,FINA
2019,200308,HLTH
2019,200308,HOSP
2019,200308,HUMA
2019,200308,INFO
2019,200308,LAW
2019,200308,MANU
2019,200308,STEM
2019,200308,TRAN
2019,200310,INFO
2019,260336,INFO
2019,040305,BMA
2019,040305,FINA
2019,040305,HOSP
2019,040305,LAW
2019,040304,BMA
2019,040304,FINA
2019,040304,HUMA
2019,040304,INFO
2019,040304,LAW
2019,040304,MANU
2019,040306,AAVC
2019,040306,AGNR
2019,040306,ARCH
2019,040306,BMA
2019,040306,FINA
2019,040306,HLTH
2019,040306,HOSP
2019,040306,HUMA
2019,040306,INFO
2019,040306,LAW
2019,040306,MANU
2019,040306,MRKT
