Employment Projections by Industry,,,,,,,,,
Area Name,Industry Code,Industry Group,Industry Title,2021,2030,Net Growth,Annualized,Total,Average Weekly
North Carolina,000671,Sub-Sector,"Total Self Employed and Unpaid Family Workers, All Jobs","300,914","312,171","11,257",0.4%,3.7%,*
North Carolina,111000,Sub-Sector,Crop Production,"19,496","19,977",481,0.3%,2.5%,706.00  $
North Carolina,112000,Sub-Sector,Animal Production and Aquaculture,"22,930","21,171","-1,759",-0.9%,-7.7%,855.00  $
North Carolina,113000,Sub-Sector,Forestry and Logging,*,*,*,-0.1%,*,*
North Carolina,114000,Sub-Sector,"Fishing, Hunting and Trapping",*,*,*,0.6%,*,*
North Carolina,115000,Sub-Sector,Support Activities for Agriculture and Forestry,"4,095","4,225",130,0.3%,3.2%,887.00  $
North Carolina,211000,Sub-Sector,Oil and Gas Extraction,*,*,*,0.0%,*,*
North Carolina,212000,Sub-Sector,Mining (except Oil and Gas),"2,876","2,941",65,0.2%,2.3%,"1,380.00  $"
North Carolina,213000,Sub-Sector,Support Activities for Mining,*,*,*,2.4%,*,*
North Carolina,221000,Sub-Sector,Utilities,"14,394","13,225","-1,169",-0.9%,-8.1%,"1,823.00  $"
North Carolina,236000,Sub-Sector,Construction of Buildings,"53,655","56,515","2,860",0.6%,5.3%,"1,406.00  $"
North Carolina,237000,Sub-Sector,Heavy and Civil Engineering Construction,"34,677","38,777","4,100",1.2%,11.8%,"1,268.00  $"
North Carolina,238000,Sub-Sector,Specialty Trade Contractors,"150,153","164,190","14,037",1.0%,9.3%,"1,083.00  $"
North Carolina,311000,Sub-Sector,Food Manufacturing,"56,575","63,320","6,745",1.3%,11.9%,879.00  $
North Carolina,312000,Sub-Sector,Beverage and Tobacco Product Manufacturing,"12,919","13,817",898,0.7%,7.0%,981.00  $
North Carolina,313000,Sub-Sector,Textile Mills,"24,546","22,700","-1,846",-0.9%,-7.5%,907.00  $
North Carolina,314000,Sub-Sector,Textile Product Mills,"5,434","4,771",-663,-1.4%,-12.2%,816.00  $
North Carolina,315000,Sub-Sector,Apparel Manufacturing,"5,238","3,732","-1,506",-3.7%,-28.8%,627.00  $
North Carolina,316000,Sub-Sector,Leather and Allied Product Manufacturing,722,696,-26,-0.4%,-3.6%,689.00  $
North Carolina,321000,Sub-Sector,Wood Product Manufacturing,"18,291","20,350","2,059",1.2%,11.3%,"1,103.00  $"
North Carolina,322000,Sub-Sector,Paper Manufacturing,"17,467","17,825",358,0.2%,2.0%,"1,301.00  $"
North Carolina,323000,Sub-Sector,Printing and Related Support Activities,"11,478","10,497",-981,-1.0%,-8.5%,978.00  $
North Carolina,324000,Sub-Sector,Petroleum and Coal Products Manufacturing,744,756,12,0.2%,1.6%,"1,637.00  $"
North Carolina,325000,Sub-Sector,Chemical Manufacturing,"43,142","47,221","4,079",1.0%,9.5%,"1,810.00  $"
North Carolina,326000,Sub-Sector,Plastics and Rubber Products Manufacturing,"35,043","34,612",-431,-0.1%,-1.2%,"1,152.00  $"
North Carolina,327000,Sub-Sector,Nonmetallic Mineral Product Manufacturing,"15,657","15,878",221,0.2%,1.4%,"1,215.00  $"
North Carolina,331000,Sub-Sector,Primary Metal Manufacturing,"7,367","7,501",134,0.2%,1.8%,"1,378.00  $"
North Carolina,332000,Sub-Sector,Fabricated Metal Product Manufacturing,"36,523","38,369","1,846",0.5%,5.1%,"1,121.00  $"
North Carolina,333000,Sub-Sector,Machinery Manufacturing,"35,689","37,919","2,230",0.7%,6.2%,"1,340.00  $"
North Carolina,334000,Sub-Sector,Computer and Electronic Product Manufacturing,"32,432","33,312",880,0.3%,2.7%,"2,636.00  $"
North Carolina,335000,Sub-Sector,"Electrical Equipment, Appliance, and Component Manufacturing","21,964","23,858","1,894",0.9%,8.6%,"1,365.00  $"
North Carolina,336000,Sub-Sector,Transportation Equipment Manufacturing,"34,512","38,083","3,571",1.1%,10.3%,"1,243.00  $"
North Carolina,337000,Sub-Sector,Furniture and Related Product Manufacturing,"34,258","36,284","2,026",0.6%,5.9%,856.00  $
North Carolina,339000,Sub-Sector,Miscellaneous Manufacturing,"14,070","14,816",746,0.6%,5.3%,"1,123.00  $"
North Carolina,423000,Sub-Sector,"Merchant Wholesalers, Durable Goods","108,848","115,601","6,753",0.7%,6.2%,"1,689.00  $"
North Carolina,424000,Sub-Sector,"Merchant Wholesalers, Nondurable Goods","63,191","67,144","3,953",0.7%,6.3%,"1,458.00  $"
North Carolina,425000,Sub-Sector,Wholesale Electronic Markets and Agents and Brokers,"18,484","19,162",678,0.4%,3.7%,"2,278.00  $"
North Carolina,441000,Sub-Sector,Motor Vehicle and Parts Dealers,"70,540","75,860","5,320",0.8%,7.5%,"1,197.00  $"
North Carolina,442000,Sub-Sector,Furniture and Home Furnishings Stores,"16,252","17,214",962,0.6%,5.9%,807.00  $
North Carolina,443000,Sub-Sector,Electronics and Appliance Stores,"13,463","11,930","-1,533",-1.3%,-11.4%,"1,128.00  $"
North Carolina,444000,Sub-Sector,Building Material and Garden Equipment and Supplies Dealers,"51,694","55,981","4,287",0.9%,8.3%,773.00  $
North Carolina,445000,Sub-Sector,Food and Beverage Stores,"102,017","108,209","6,192",0.7%,6.1%,463.00  $
North Carolina,446000,Sub-Sector,Health and Personal Care Stores,"32,592","33,410",818,0.3%,2.5%,783.00  $
North Carolina,447000,Sub-Sector,Gasoline Stations,"31,012","31,787",775,0.3%,2.5%,479.00  $
North Carolina,448000,Sub-Sector,Clothing and Clothing Accessories Stores,"33,276","33,685",409,0.1%,1.2%,479.00  $
North Carolina,451000,Sub-Sector,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","16,788","16,646",-142,-0.1%,-0.8%,497.00  $
North Carolina,452000,Sub-Sector,General Merchandise Stores,"99,999","94,588","-5,411",-0.6%,-5.4%,529.00  $
North Carolina,453000,Sub-Sector,Miscellaneous Store Retailers,"24,865","22,963","-1,902",-0.9%,-7.6%,571.00  $
North Carolina,454000,Sub-Sector,Nonstore Retailers,"17,789","20,455","2,666",1.6%,15.0%,940.00  $
North Carolina,481000,Sub-Sector,Air Transportation,"16,228","18,536","2,308",1.5%,14.2%,"1,462.00  $"
North Carolina,482000,Sub-Sector,Rail Transportation,"3,026","3,150",124,0.4%,4.1%,*
North Carolina,483000,Sub-Sector,Water Transportation,237,251,14,0.6%,5.9%,"1,071.00  $"
North Carolina,484000,Sub-Sector,Truck Transportation,"48,931","53,884","4,953",1.1%,10.1%,"1,064.00  $"
North Carolina,485000,Sub-Sector,Transit and Ground Passenger Transportation,"5,294","6,486","1,192",2.3%,22.5%,717.00  $
North Carolina,486000,Sub-Sector,Pipeline Transportation,*,*,*,0.6%,*,*
North Carolina,487000,Sub-Sector,Scenic and Sightseeing Transportation,*,*,*,2.2%,*,*
North Carolina,488000,Sub-Sector,Support Activities for Transportation,"17,517","20,052","2,535",1.5%,14.5%,"1,185.00  $"
North Carolina,491100,Sub-Sector,Postal Service,"19,536","19,019",-517,-0.3%,-2.6%,"1,264.00  $"
North Carolina,492000,Sub-Sector,Couriers and Messengers,"31,373","36,879","5,506",1.8%,17.6%,761.00  $
North Carolina,493000,Sub-Sector,Warehousing and Storage,"56,296","72,000","15,704",2.8%,27.9%,791.00  $
North Carolina,511000,Sub-Sector,Publishing Industries (except Internet),"28,623","31,854","3,231",1.2%,11.3%,"2,530.00  $"
North Carolina,512000,Sub-Sector,Motion Picture and Sound Recording Industries,"3,717","4,644",927,2.5%,24.9%,863.00  $
North Carolina,515000,Sub-Sector,Broadcasting (except Internet),"5,852","6,402",550,1.0%,9.4%,"1,377.00  $"
North Carolina,517000,Sub-Sector,Telecommunications,"25,674","27,159","1,485",0.6%,5.8%,"1,671.00  $"
North Carolina,518000,Sub-Sector,"Data Processing, Hosting and Related Services","10,344","11,316",972,1.0%,9.4%,"2,274.00  $"
