North Carolina Department of Public Instruction,,,,,,,,
School Nutrition Division,,,,,,,,
2019-2020 Economically Disadvantaged Student Data,,,,,,,,
,,,,,,,,
SFA #,SFA Name,Site #,Site Name,Provision,ADM,Free,Reduced,% EDS
10,Alamance-Burlington Schools,303,A.B. Middle College,,228,74,20,41.23%
10,Alamance-Burlington Schools,304,Alexander Wilson Elementary,,630,247,57,48.25%
10,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,,639,241,40,43.97%
10,Alamance-Burlington Schools,310,Broadview Middle,CEP,808,750,Less than 10,90% or Greater
10,Alamance-Burlington Schools,312,Highland Elementary School,,667,193,27,32.98%
10,Alamance-Burlington Schools,320,E M Yoder Elementary,,389,136,25,41.39%
10,Alamance-Burlington Schools,324,Eastern Alamance High,,1190,387,56,37.23%
10,Alamance-Burlington Schools,326,Eastlawn Elementary,CEP,658,611,Less than 10,90% or Greater
10,Alamance-Burlington Schools,328,Edwin M Holt Elementary,,609,173,30,33.33%
10,Alamance-Burlington Schools,340,Elon Elementary,,751,300,42,45.54%
10,Alamance-Burlington Schools,346,B Everett Jordan Elem,,368,168,37,55.71%
10,Alamance-Burlington Schools,347,Garrett Elementary,,616,291,36,53.08%
10,Alamance-Burlington Schools,348,Graham High,,811,536,66,74.23%
10,Alamance-Burlington Schools,350,Graham Middle,CEP,710,659,Less than 10,90% or Greater
10,Alamance-Burlington Schools,351,Grove Park Elementary,CEP,466,433,Less than 10,90% or Greater
10,Alamance-Burlington Schools,353,Hawfields Middle,,719,320,55,52.16%
10,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,CEP,614,570,Less than 10,90% or Greater
10,Alamance-Burlington Schools,357,Haw River Elementary,CEP,548,509,Less than 10,90% or Greater
10,Alamance-Burlington Schools,358,Hillcrest Elementary,CEP,638,592,Less than 10,90% or Greater
10,Alamance-Burlington Schools,360,Hugh M Cummings High,,976,637,74,72.85%
10,Alamance-Burlington Schools,362,Marvin B Smith Elementary,,525,197,35,44.19%
10,Alamance-Burlington Schools,364,North Graham Elementary,CEP,403,374,Less than 10,90% or Greater
10,Alamance-Burlington Schools,372,Pleasant Grove Elementary,CEP,312,290,Less than 10,90% or Greater
10,Alamance-Burlington Schools,374,R Homer Andrews Elementary,CEP,557,517,Less than 10,90% or Greater
10,Alamance-Burlington Schools,378,Ray Street Academy,CEP,99,92,Less than 10,90% or Greater
10,Alamance-Burlington Schools,380,South Graham Elementary,,598,401,62,77.42%
10,Alamance-Burlington Schools,384,South Mebane Elementary,,637,211,53,41.44%
10,Alamance-Burlington Schools,388,Southern High,,1393,408,68,34.17%
10,Alamance-Burlington Schools,390,Southern Middle,,769,248,38,37.19%
10,Alamance-Burlington Schools,392,Sylvan Elementary,,278,144,23,60.07%
10,Alamance-Burlington Schools,394,Turrentine Middle,,1011,579,83,65.48%
10,Alamance-Burlington Schools,396,Walter M Williams High,,1161,512,76,50.65%
10,Alamance-Burlington Schools,400,Western Alamance High,,1126,303,37,30.20%
10,Alamance-Burlington Schools,403,Western Middle,,869,287,52,39.01%
10,Alamance-Burlington Schools,406,Woodlawn Middle,,626,236,45,44.89%
,,,,," 23,399 "," 12,626 "," 1,137 ",58.82%
20,Alexander County Schools,302,Alexander Central High,,1328,412,84,37.35%
20,Alexander County Schools,303,Alexander Early College,,232,45,11,24.14%
20,Alexander County Schools,304,Bethlehem Elementary,,527,130,31,30.55%
20,Alexander County Schools,306,East Alexander Middle,,642,298,57,55.30%
20,Alexander County Schools,308,Ellendale Elementary,,270,85,16,37.41%
20,Alexander County Schools,316,Hiddenite Elementary,,506,251,44,58.30%
20,Alexander County Schools,320,Stony Point Elementary,,321,177,19,61.06%
20,Alexander County Schools,324,Sugar Loaf Elementary,,229,87,11,42.79%
20,Alexander County Schools,328,Taylorsville Elementary,,247,149,28,71.66%
20,Alexander County Schools,330,West Alexander Middle,,600,174,27,33.50%
20,Alexander County Schools,332,Wittenburg Elementary,,378,174,21,51.59%
,,,,," 5,280 "," 1,982 ", 349 ,44.15%
30,Alleghany County Schools,304,Alleghany High,,421,185,44,54.39%
30,Alleghany County Schools,308,Glade Creek Elementary,,282,166,32,70.21%
30,Alleghany County Schools,316,Piney Creek Elementary,,201,74,19,46.27%
30,Alleghany County Schools,320,Sparta Elementary,,674,423,56,71.07%
,,,,," 1,578 ", 848 , 151 ,63.31%
40,Anson County Schools,304,Anson Co. Early College High,CEP,248,248,Less than 10,90% or Greater
40,Anson County Schools,305,Anson Challenge Academy,CEP,26,26,Less than 10,90% or Greater
40,Anson County Schools,306,Anson High,CEP,639,639,Less than 10,90% or Greater
40,Anson County Schools,308,Ansonville Elem,CEP,165,165,Less than 10,90% or Greater
40,Anson County Schools,309,Anson Middle,CEP,732,732,Less than 10,90% or Greater
40,Anson County Schools,311,Wadesboro Primary,CEP,294,294,Less than 10,90% or Greater
40,Anson County Schools,316,Lilesville Elementary,CEP,252,252,Less than 10,90% or Greater
40,Anson County Schools,324,Morven Elementary,CEP,179,179,Less than 10,90% or Greater
40,Anson County Schools,328,Peachland-Polkton Elem,CEP,420,420,Less than 10,90% or Greater
40,Anson County Schools,330,Wadesboro Elementary,CEP,162,162,Less than 10,90% or Greater
,,,,," 3,117 "," 3,117 ", Less than 10 ,90% or Greater
50,Ashe County Schools,302,Ashe County High,,762,307,92,52.36%
50,Ashe County Schools,303,Ashe County Early College High School,,100,31,Less than 10,38.00%
50,Ashe County Schools,305,Ashe County Middle,,509,234,57,57.17%
50,Ashe County Schools,310,Blue Ridge Elementary,,446,226,52,62.33%
50,Ashe County Schools,330,Mountain View Elementary,,591,305,65,62.61%
50,Ashe County Schools,335,Westwood Elementary,,546,263,49,57.14%
,,,,," 2,954 "," 1,366 ", 322 ,57.14%
60,Avery County Schools,302,Avery County High,,537,189,53,45.07%
60,Avery County Schools,304,Banner Elk Elementary,,173,57,19,43.93%
60,Avery County Schools,310,Cranberry Middle,,208,78,28,50.96%
60,Avery County Schools,316,Crossnore Elementary,,190,76,22,51.58%
60,Avery County Schools,318,Avery Middle,,281,135,29,58.36%
60,Avery County Schools,322,Freedom Trail Elementary,,209,102,35,65.55%
60,Avery County Schools,328,Newland Elementary,,249,161,28,75.90%
60,Avery County Schools,332,Riverside Elementary,,112,51,18,61.61%
,,,,," 1,959 ", 849 , 232 ,55.18%
70,Beaufort County Schools,302,Eastern Elementary,CEP,566,561,Less than 10,90% or Greater
70,Beaufort County Schools,308,Bath Elementary,CEP,599,593,Less than 10,90% or Greater
70,Beaufort County Schools,310,B C Ed Tech Center,CEP,80,79,Less than 10,90% or Greater
70,Beaufort County Schools,311,Beaufort County Early College High School,,253,106,21,50.20%
70,Beaufort County Schools,325,Chocowinity Middle,CEP,420,407,Less than 10,90% or Greater
70,Beaufort County Schools,326,Chocowinity Primary,CEP,513,508,Less than 10,90% or Greater
70,Beaufort County Schools,327,John C Tayloe Elementary,CEP,509,494,Less than 10,90% or Greater
70,Beaufort County Schools,328,John Small Elementary,CEP,513,498,Less than 10,90% or Greater
70,Beaufort County Schools,329,Northeast Elementary,CEP,449,436,Less than 10,90% or Greater
70,Beaufort County Schools,330,Northside High,CEP,392,380,Less than 10,90% or Greater
70,Beaufort County Schools,338,P S Jones Middle,CEP,769,746,Less than 10,90% or Greater
70,Beaufort County Schools,339,Southside High,CEP,384,373,Less than 10,90% or Greater
70,Beaufort County Schools,340,S W Snowden Elementary,CEP,171,169,Less than 10,90% or Greater
70,Beaufort County Schools,342,Washington High,CEP,823,798,Less than 10,90% or Greater
,,,,," 6,441 "," 6,148 ", 21 ,90% or Greater
80,Bertie County Schools,311,Bertie Early College,CEP,177,177,Less than 10,90% or Greater
80,Bertie County Schools,312,Bertie High,CEP,438,438,Less than 10,90% or Greater
80,Bertie County Schools,314,Bertie Middle School,CEP,479,479,Less than 10,90% or Greater
80,Bertie County Schools,348,Aulander Elementary,CEP,128,128,Less than 10,90% or Greater
80,Bertie County Schools,356,West Bertie Elementary,CEP,255,255,Less than 10,90% or Greater
80,Bertie County Schools,360,Colerain Elementary,CEP,175,175,Less than 10,90% or Greater
80,Bertie County Schools,362,Windsor Elementary,CEP,464,464,Less than 10,90% or Greater
