North Carolina Department of Public Instruction,,,,,,,,
School Nutrition Division,,,,,,,,
2018-2019 Economically Disadvantaged Student Data,,,,,,,,
,,,,,,,,
SFA #,SFA Name,Site #,Site Name,Provision,ADM,Free,Reduced,% EDS
10,Alamance-Burlington Schools,303,A.B. Middle College,,219,75,21,43.84%
10,Alamance-Burlington Schools,304,Alexander Wilson Elementary,,620,259,54,50.48%
10,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,,616,254,39,47.56%
10,Alamance-Burlington Schools,310,Broadview Middle,CEP,769,761,Less than 10,90% or Greater
10,Alamance-Burlington Schools,312,Highland Elementary School,,729,243,37,38.41%
10,Alamance-Burlington Schools,320,E M Yoder Elementary,,392,146,15,41.07%
10,Alamance-Burlington Schools,324,Eastern Alamance High,,1188,386,61,37.63%
10,Alamance-Burlington Schools,326,Eastlawn Elementary,CEP,649,642,Less than 10,90% or Greater
10,Alamance-Burlington Schools,328,Edwin M Holt Elementary,,544,145,30,32.17%
10,Alamance-Burlington Schools,340,Elon Elementary,,729,309,40,47.87%
10,Alamance-Burlington Schools,346,B Everett Jordan Elem,,381,196,34,60.37%
10,Alamance-Burlington Schools,347,Garrett Elementary,,628,306,56,57.64%
10,Alamance-Burlington Schools,348,Graham High,,737,475,53,71.64%
10,Alamance-Burlington Schools,350,Graham Middle,,718,556,58,85.52%
10,Alamance-Burlington Schools,351,Grove Park Elementary,CEP,486,481,Less than 10,90% or Greater
10,Alamance-Burlington Schools,353,Hawfields Middle,,682,326,43,54.11%
10,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,CEP,657,650,Less than 10,90% or Greater
10,Alamance-Burlington Schools,357,Haw River Elementary,CEP,555,549,Less than 10,90% or Greater
10,Alamance-Burlington Schools,358,Hillcrest Elementary,CEP,627,620,Less than 10,90% or Greater
10,Alamance-Burlington Schools,360,Hugh M Cummings High,,943,660,64,76.78%
10,Alamance-Burlington Schools,362,Marvin B Smith Elementary,,534,212,37,46.63%
10,Alamance-Burlington Schools,364,North Graham Elementary,CEP,381,377,Less than 10,90% or Greater
10,Alamance-Burlington Schools,372,Pleasant Grove Elementary,CEP,343,339,Less than 10,90% or Greater
10,Alamance-Burlington Schools,374,R Homer Andrews Elementary,CEP,578,572,Less than 10,90% or Greater
10,Alamance-Burlington Schools,378,Ray Street Academy,,128,91,Less than 10,75.00%
10,Alamance-Burlington Schools,380,South Graham Elementary,CEP,628,621,Less than 10,90% or Greater
10,Alamance-Burlington Schools,384,South Mebane Elementary,,648,226,45,41.82%
10,Alamance-Burlington Schools,388,Southern High,,1393,426,68,35.46%
10,Alamance-Burlington Schools,390,Southern Middle,,713,249,18,37.45%
10,Alamance-Burlington Schools,392,Sylvan Elementary,,298,163,23,62.42%
10,Alamance-Burlington Schools,394,Turrentine Middle,,946,557,68,66.07%
10,Alamance-Burlington Schools,396,Walter M Williams High,,1170,545,75,52.99%
10,Alamance-Burlington Schools,400,Western Alamance High,,1117,275,53,29.36%
10,Alamance-Burlington Schools,403,Western Middle,,840,293,41,39.76%
10,Alamance-Burlington Schools,406,Woodlawn Middle,,591,238,39,46.87%
,,,,," 23,177 "," 13,223 "," 1,077 ",61.70%
20,Alexander County Schools,302,Alexander Central High,,1245,433,64,39.92%
20,Alexander County Schools,303,Alexander Early College,,183,40,11,27.87%
20,Alexander County Schools,304,Bethlehem Elementary,,486,134,16,30.86%
20,Alexander County Schools,306,East Alexander Middle,,627,302,42,54.86%
20,Alexander County Schools,308,Ellendale Elementary,,291,105,14,40.89%
20,Alexander County Schools,316,Hiddenite Elementary,,507,261,46,60.55%
20,Alexander County Schools,320,Stony Point Elementary,,306,169,24,63.07%
20,Alexander County Schools,324,Sugar Loaf Elementary,,231,81,18,42.86%
20,Alexander County Schools,328,Taylorsville Elementary,CEP,279,277,Less than 10,90% or Greater
20,Alexander County Schools,330,West Alexander Middle,,591,187,22,35.36%
20,Alexander County Schools,332,Wittenburg Elementary,,351,162,13,49.86%
,,,,," 5,097 "," 2,151 ", 270 ,47.50%
30,Alleghany County Schools,304,Alleghany High,,425,178,41,51.53%
30,Alleghany County Schools,308,Glade Creek Elementary,,236,140,19,67.37%
30,Alleghany County Schools,316,Piney Creek Elementary,,177,69,20,50.28%
30,Alleghany County Schools,320,Sparta Elementary,,639,389,52,69.01%
,,,,," 1,477 ", 776 , 132 ,61.48%
40,Anson County Schools,304,Anson Co. Early College High,CEP,228,228,Less than 10,90% or Greater
40,Anson County Schools,305,Anson Challenge Academy,CEP,32,32,Less than 10,90% or Greater
40,Anson County Schools,306,Anson High,CEP,685,685,Less than 10,90% or Greater
40,Anson County Schools,308,Ansonville Elem,CEP,173,173,Less than 10,90% or Greater
40,Anson County Schools,309,Anson Middle,CEP,689,689,Less than 10,90% or Greater
40,Anson County Schools,311,Wadesboro Primary,CEP,314,314,Less than 10,90% or Greater
40,Anson County Schools,316,Lilesville Elementary,CEP,248,248,Less than 10,90% or Greater
40,Anson County Schools,324,Morven Elementary,CEP,194,194,Less than 10,90% or Greater
40,Anson County Schools,328,Peachland-Polkton Elem,CEP,416,416,Less than 10,90% or Greater
40,Anson County Schools,330,Wadesboro Elementary,CEP,168,168,Less than 10,90% or Greater
,,,,," 3,147 "," 3,147 ", Less than 10 ,90% or Greater
50,Ashe County Schools,302,Ashe County High,,822,352,77,52.19%
50,Ashe County Schools,303,Ashe County Early College High School,,60,18,Less than 10,36.67%
50,Ashe County Schools,305,Ashe County Middle,,472,221,43,55.93%
